,gameDuration,gameMode,gameStartTimestamp,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,championId,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,puuid,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamEarlySurrendered,teamPosition,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardTimeCoverageInRiverOrEnemyHalf,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earliestDragonTakedown,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,fasterSupportQuestCompletion,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,highestWardKills,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,mythicItemUsed,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,shortestTimeToAceFromFirstTakedown,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,threeWardsOneSweeperCount,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,defense,flex,offense,primaryStyle,secondaryStyle,primaryPerk0,primaryVar10,primaryVar20,primaryVar30,primaryPerk1,primaryVar11,primaryVar21,primaryVar31,primaryPerk2,primaryVar12,primaryVar22,primaryVar32,primaryPerk3,primaryVar13,primaryVar23,primaryVar33,secondaryPerk0,secondaryVar10,secondaryVar20,secondaryVar30,secondaryPerk1,secondaryVar11,secondaryVar21,secondaryVar31
0,2146,CLASSIC,1683053919462,0,3,9,0,0,0,0,432,0,0,5,235,235,235,16525,0,11,3,0,0,1,3,False,True,False,False,False,True,0,8528,7675,0,0,0,0,2065,3107,3853,3067,3158,1028,3364,23,0,2,BOTTOM,0,0,1,568,20372,5416,14347,0,0,0,0,0,0,0,0,0,4100,1728,13843,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,29,33,30,9,6,14,2,4,171,False,UTILITY,46,0,25777,8449,1295,29060,0,4919,2723,24,219,317,8,0,1304,1304,868,0,0,7,0,0,96,3,8,39,False,0,101,0,0,0,0,0,0,1,0.8564384947538852,3,236.20097926628864,0.1772842530179105,0,11,2,0,1,1784.2722516,0,4019.048828125,0,0,28,0,0,0,0,0,1,1,1,2146.3674839,0,238.3998342231642,0,1,5,0,0,0,0,0,1,1,0.3235294117647059,0,2,0,0,0,0,0,2,2,0,0,0,19,0,1,0,0,0,0,0,0,2065,0,0,0,0,0,10,1,0,0,0,0,0,16,0,20.95901489999983,11,19,0,0,0,27,0,0,0,11,1,0,2,0,0,0,0.07568312764606093,0,1,0,0,0,0,0,0,2.7374603748321533,2.6838388574073226,8,2,0,5002,5008,5005,8400,8100,8465,1648,0,0,8463,822,0,0,8473,888,0,0,8242,122,0,0,8136,9,18,0,8105,13,5,0
1,2191,CLASSIC,1682968146514,0,0,6,0,0,0,0,32,0,0,4,0,2729,0,27563,0,8,2,0,0,2,5,False,False,False,False,False,False,0,10364,10200,0,0,0,3,3860,3001,4637,3075,1028,3158,3364,31,0,7,BOTTOM,0,2,1,957,54837,14707,8152,0,0,0,1,0,0,0,0,0,9724,1311,26446,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,45,71,60,8,9,14,8,4,171,False,UTILITY,52,0,74508,18152,0,34975,0,3326,0,75,165,307,1,0,9946,2134,376,0,0,11,0,1,63,2,4,26,False,0,184,0,0,0,0,150,0,0,0.5281753038642588,2,496.8850260536379,0.20222634887567903,0,8,29,0,0,,0,0,0,0,52,0,0,0,0,0,,0,0,2192.0067126,0,283.69312146170296,0,,12,0,0,0,0,0,1.625,2,0.43333333333333335,0,2,0,0,0,1,0,2,16,0,0,0,20,0,1,0,0,0,0,0,0,3001,0,1,0,0,0,10,1,0,0,0,0,1,0,0,,147,30,0,0,0,24,0,0,0,13,0,0,4,0,0,0,0.15247228253654516,0,1,0,0,0,0,3,0,-0.06130915880203247,1.7374475553426565,4,2,2,5002,5002,5008,8300,8400,8351,70,635,0,8306,2,0,0,8345,3,0,0,8347,0,0,0,8473,1402,0,0,8242,118,0,0
2,1563,CLASSIC,1682966275969,0,0,10,0,0,0,0,432,0,0,5,0,0,0,8759,0,5,3,0,0,0,2,False,False,False,False,False,False,0,7250,6775,0,0,0,2,2065,3107,3158,3853,1006,0,3364,18,1,4,BOTTOM,0,4,1,681,18958,7531,8753,0,4,0,1,0,0,0,0,0,3707,2048,6595,1,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,31,33,26,8,4,14,2,4,171,False,UTILITY,40,0,24945,10220,846,15452,0,3756,2141,15,191,105,5,0,2280,640,103,0,0,9,0,0,55,3,2,26,False,0,98,0,0,0,0,150,0,1,0.608200174986756,3,392.29145359709486,0.15815843214763173,0,5,1,0,0,,0,2988.32666015625,0,0,23,0,0,0,0,0,,0,0,1563.1728153,0,278.2961214414007,0,,4,0,0,0,0,0,2.8,0,0.6363636363636364,0,0,0,0,0,0,0,4,4,0,0,0,6,0,2,0,0,0,0,0,0,2065,0,1,0,0,0,10,1,0,0,0,0,0,1,1,,10,21,0,0,1,19,0,4,0,14,0,0,2,0,0,0,0.155374475868113,0,0,0,0,0,0,0,0,0.33858513832092285,2.1228042272425593,2,2,1,5002,5008,5005,8400,8100,8465,1149,0,0,8463,1661,0,0,8473,532,0,0,8242,76,0,0,8136,4,8,0,8105,13,5,0
3,1341,CLASSIC,1682964525299,0,0,3,0,0,0,1,432,0,0,4,1031,2139,1031,6204,0,2,2,0,0,1,2,False,False,False,False,False,False,0,6434,5600,0,0,0,0,2065,3853,0,3114,1028,3158,3364,19,1,4,BOTTOM,0,3,1,867,13959,4928,5173,0,0,0,0,1,0,0,0,0,3049,1585,5725,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,24,25,19,4,3,14,2,4,171,False,UTILITY,30,0,17224,6730,551,11092,0,3770,689,3,138,38,5,0,216,216,193,1,1,2,0,0,46,2,2,18,True,0,72,0,0,0,0,0,0,1,0.5035468583035622,2,300.92227466134364,0.1778007882738512,0,2,1,0,2,940.8815860999999,0,1240.8245849609375,0,0,16,0,0,0,0,0,1,0,0,1341.9905005,0,287.67309485651236,0,1,1,0,0,0,0,0,3.5,2,0.3888888888888889,0,1,1,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,2065,0,0,0,0,0,7,1,0,0,0,0,0,0,0,,10,21,0,0,0,14,0,2,0,7,0,0,4,0,0,0,0.14241618958362937,0,1,0,0,2,5,0,0,1.5521914958953857,2.0816645042027733,2,1,0,5002,5008,5005,8400,8100,8465,817,0,0,8463,319,0,0,8473,446,0,0,8242,47,0,0,8136,2,4,0,8105,8,3,0
4,912,CLASSIC,1682954094536,0,0,6,0,0,0,0,12,0,0,2,0,0,0,10724,0,9,0,0,0,0,3,False,False,False,False,False,True,0,3586,3100,0,0,0,0,0,1029,3859,3105,1001,3067,3340,10,0,0,NONE,0,0,0,202,4039,1804,3885,0,0,0,0,0,0,0,0,0,3106,887,6780,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,16,9,9,2,3,14,2,4,171,False,UTILITY,25,0,9739,2995,0,13487,0,1349,789,18,91,124,4,0,2594,304,2821,0,0,2,0,0,10,0,0,6,False,0,36,0,0,0,0,0,0,0,,0,196.83742625513761,0.2137211416035273,0,9,2,0,0,,0,789.9779052734375,0,0,32,0,0,0,0,0,,0,0,913.1938521999999,0,235.63060611944573,0,,2,0,0,0,0,0,0.6666666666666666,1,0.375,0,0,0,0,0,0,2,0,15,0,0,0,15,0,1,0,0,0,0,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,0,0,,18,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0.10406041309386928,0,1,0,0,0,0,0,0,-0.40475189685821533,0.6611853509410245,0,0,0,5002,5002,5007,8300,8400,8351,36,201,0,8306,0,0,0,8345,3,0,0,8347,0,0,0,8473,306,0,0,8242,65,0,0
5,974,CLASSIC,1682952850556,0,0,2,0,0,0,0,32,0,0,4,0,0,0,5636,0,4,2,0,0,0,5,False,False,False,False,False,True,0,3724,3550,0,0,0,0,3859,1029,3111,3105,1029,0,3364,13,0,1,NONE,0,0,1,334,4478,3007,2241,0,0,0,0,0,0,0,0,0,2850,565,4920,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,17,15,18,2,2,14,1,4,171,False,UTILITY,22,0,11410,4159,0,7400,0,299,125,24,32,70,2,0,4080,586,238,0,0,2,0,0,19,2,3,8,False,0,52,0,0,0,0,0,0,0,0.5905616876990827,2,256.11353450965436,0.15607889863684757,0,4,4,0,0,,0,125.89599609375,0,0,23,0,0,0,0,0,,0,0,974.4997227,0,229.34466104774197,0,,2,0,0,0,0,0,0.75,0,0.3,0,0,0,0,0,0,0,7,15,0,0,0,6,0,1,0,0,0,0,0,0,,0,1,0,0,0,2,1,0,0,0,0,0,0,0,,26,15,0,0,1,6,0,0,0,3,0,0,3,0,0,0,0.15077798246789378,0,0,0,0,0,0,0,0,-0.24433398246765137,1.2089204974323389,3,3,1,5002,5003,5007,8400,8100,8439,170,375,0,8463,226,0,0,8473,307,0,0,8242,34,0,0,8126,242,0,0,8106,2,0,0
6,1132,CLASSIC,1682951189364,0,0,0,0,0,0,46,62,0,0,1,12454,12454,12454,26612,0,1,0,15,0,0,0,False,False,False,False,False,False,0,20724,17200,0,0,0,0,3026,6632,3074,3006,3153,3156,3340,15,2,50,NONE,0,46,5,810,6001,2781,6115,0,0,1,0,1,0,0,0,1,172678,69510,20567,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,4,DUO,0,80,13,29,13,4,12,2,6,171,False,TOP,13,0,178679,72291,0,26682,0,18627,0,175,53,8,1,6,0,0,0,4,4,0,0,0,1,0,0,1,True,0,135,0,0,0,0,0,0,0,,0,3823.5393727385094,0.4344992366552662,0,1,0,0,0,,1,0,0,0,20,0,0,0,0,0,,1,0,1134.4139509,0,1096.1447998223837,0,,3,0,0,0,0,2,50,0,0.9090909090909091,0,36,8,0,0,0,0,0,68,1,1,0,0,2,0,0,0,0,0,26,0,6632,0,41,0,0,0,10,,0,0,0,1,0,0,0,26.550565700000107,5,0,0,0,40,1,0,6,1,50,0,0,25,0,0,0,0.8172965052843596,0,0,0,0,9,0,8,0,0.641356348991394,0.08681256155334861,0,0,0,5002,5008,5005,8000,8300,8010,2279,0,0,9111,3025,1000,0,9104,7,40,0,8299,799,0,0,8304,6,4,5,8347,0,0,0
7,1825,CLASSIC,1682939568983,0,1,25,1,0,0,1,32,0,1,4,3149,17373,3149,31985,0,6,2,0,0,0,10,False,False,False,False,False,False,0,12125,10950,0,0,1,2,3860,6665,4637,3110,1029,3111,3364,30,1,7,BOTTOM,0,3,1,669,67199,16210,13773,1,0,0,0,1,0,0,0,0,11580,1840,11087,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,56,78,77,7,6,14,4,4,171,False,UTILITY,49,0,96403,19624,0,28663,0,5476,977,93,255,152,2,0,17623,1573,3802,1,4,7,0,0,69,2,8,24,True,0,218,0,0,1,0,0,0,1,0.8349128390983052,2,644.7904397742653,0.18904383620221366,0,6,3,0,2,580.0961762,0,977.228515625,0,0,65,0,0,0,0,0,1,0,0,1826.1205587,0,398.4157197357717,0,1,23,0,0,0,0,0,5.333333333333333,2,0.5925925925925926,0,2,0,0,1,0,2,5,14,0,0,1,56,0,4,0,0,0,0,0,0,6665,0,3,0,0,0,24,1,0,0,0,0,0,11,0,,24,31,0,0,0,22,0,4,0,32,0,0,12,0,0,1,0.14455758642672195,0,0,0,0,1,0,4,0,0.7765350341796875,2.2981869063505416,8,6,1,5001,5003,5005,8400,8300,8439,1684,1158,0,8463,2463,0,0,8473,871,0,0,8242,118,0,0,8345,3,0,0,8347,0,0,0
8,1600,CLASSIC,1682888033219,0,0,18,0,0,0,0,201,0,0,5,988,2763,988,21462,0,2,3,0,0,0,7,False,False,False,False,False,False,0,8270,7225,0,0,1,0,3190,3109,3857,1029,3047,1029,3364,23,0,2,BOTTOM,0,0,1,790,9891,4804,3804,0,0,0,0,1,0,0,0,0,8977,2014,12420,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,57,33,23,5,7,14,4,4,171,False,UTILITY,33,0,25111,7585,1062,18986,0,2829,528,33,167,49,4,0,6242,765,2761,1,3,3,0,0,72,3,5,23,True,1,118,0,0,1,0,0,0,0,0.35155665395568003,3,284.33443769319587,0.1831776080260409,0,2,1,0,1,950.5274721,0,1591.01171875,0,0,21,0,0,0,0,0,1,0,0,1600.6179703,0,310.01482063564833,0,1,8,0,0,0,0,0,10,1,0.5555555555555556,0,0,0,0,0,0,0,5,13,0,0,0,7,1,2,0,0,0,0,0,0,3190,0,1,0,0,0,18,1,0,0,0,0,0,0,0,,10,29,0,0,0,20,0,14,0,20,0,0,6,1,0,1,0.08381436310163076,0,1,0,0,0,0,0,0,3.310131549835205,2.716453414287039,5,3,1,5002,5002,5005,8400,8300,8465,2675,0,0,8463,704,0,0,8473,421,0,0,8242,110,0,0,8345,3,0,0,8347,0,0,0
9,1250,CLASSIC,1682856666464,0,2,9,0,0,0,1,201,0,1,6,0,1998,0,9882,0,1,3,0,0,0,2,False,False,False,False,False,True,0,5793,5225,0,0,0,0,3857,3190,1033,3111,1028,0,3364,19,0,2,BOTTOM,0,0,1,786,6142,3874,3213,0,0,0,0,0,0,0,1,0,5593,614,5664,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,43,18,14,4,4,14,3,4,171,False,UTILITY,18,0,17848,4931,701,9547,0,600,295,31,98,16,5,0,6112,442,669,0,0,1,0,0,51,3,6,16,True,0,79,0,0,0,0,0,0,0,0.11440284062251149,3,236.5140970833563,0.1542419229728447,0,1,2,0,2,399.1037316,0,997.283447265625,0,0,9,0,0,0,0,0,,0,0,1250.9431244999998,0,277.8954607984858,0,1,8,0,0,0,0,0,11,0,0.4782608695652174,0,0,0,0,1,0,0,10,16,0,0,0,15,2,1,0,0,0,0,0,0,,0,0,0,0,0,10,1,0,0,0,0,0,0,0,,14,27,0,0,0,13,0,2,0,11,0,0,4,0,0,0,0.10657702764478301,0,1,0,0,0,5,1,0,2.0204453468322754,2.4614030652429295,6,6,1,5002,5002,5005,8400,8300,8465,820,0,0,8463,437,0,0,8473,474,0,0,8242,62,0,0,8345,3,0,0,8347,0,0,0
