,gameDuration,gameMode,gameStartTimestamp,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,championId,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,puuid,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamEarlySurrendered,teamPosition,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,mythicItemUsed,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,shortestTimeToAceFromFirstTakedown,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,twoWardsOneSweeperCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,defense,flex,offense,primaryStyle,secondaryStyle,primaryPerk0,primaryVar10,primaryVar20,primaryVar30,primaryPerk1,primaryVar11,primaryVar21,primaryVar31,primaryPerk2,primaryVar12,primaryVar22,primaryVar32,primaryPerk3,primaryVar13,primaryVar23,primaryVar33,secondaryPerk0,secondaryVar10,secondaryVar20,secondaryVar30,secondaryPerk1,secondaryVar11,secondaryVar21,secondaryVar31
0,829,ARAM,1685371434874,0,0,21,0,0,0,3,161,0,0,2,235,235,235,6642,0,7,0,4,0,0,0,False,False,False,False,False,False,0,10688,8650,0,0,0,1,6653,3020,4645,1058,0,0,2052,11,3,13,NONE,0,5,3,275,27161,16518,4455,0,0,0,1,0,0,0,0,0,2276,1105,8150,0,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,0,SUPPORT,0,87,32,21,3,1,4,3,7,60,False,,31,0,34952,22679,0,12831,0,1109,260,21,149,158,3,1,5514,5056,225,0,0,4,0,0,0,0,0,0,False,0,143,2,0,0,0,600,0,0,0,1640.5664013937678,0.12789982411578904,0,7,4,0,0,0,260.800048828125,0,0,19,0,0,0,0,0,0,1,10,829.4600545999999,0,773.17381749537,0,9,0,0,0,0,0,4.857142857142857,6,0.6666666666666666,0,2,0,0,5,0,9,63,18,0,0,11,0,2,0,0,0,0,5,0,6653,0,2,0,0,0,22,0,0,0,0,0,0,0,7.507213499999978,27,94,0,0,0,0,0,0,0,34,0,3,34,0,0,0,0.2300384835176815,0,0,0,0,0,0,0,0,-1,0,0,0,0,5002,5008,5008,8100,8000,8128,1304,25,0,8126,737,0,0,8138,30,0,0,8106,5,0,0,8009,3059,0,0,8014,550,0,0
1,1568,CLASSIC,1685369625472,0,0,8,0,0,0,1,555,0,0,2,2897,3683,2897,8491,0,3,0,2,0,0,0,False,False,False,False,False,False,0,9679,8400,0,0,2,0,3857,6691,3179,3117,3134,1028,3364,15,2,9,BOTTOM,0,4,2,526,0,0,3858,0,0,0,0,0,0,0,0,0,19594,7464,8245,0,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,0,SUPPORT,0,48,15,18,8,1,4,0,14,60,False,UTILITY,19,0,27241,8664,0,12705,0,3614,0,39,44,83,1,0,7646,1199,601,1,5,2,0,0,40,0,8,20,True,0,89,0,0,0,0,0,0,1,0,331.309658099185,0.11288585197292365,0,3,1,0,1,0,0,0,0,23,0,0,0,0,0,1,0,0,1569.0770201999999,0,370.13845382393805,0,11,0,0,0,0,0,5.666666666666667,2,0.5151515151515151,0,2,0,0,3,0,7,4,16,0,0,11,1,2,0,0,0,0,2,0,,0,0,0,0,0,16,0,0,0,0,0,0,0,,8,22,0,0,0,11,0,0,0,17,0,0,7,0,0,0,0.11256943329529871,0,2,0,2,5,1,0,0,0.9583234786987305,1.561777680410988,8,4,0,5002,5008,5008,8100,8400,9923,27,52,0,8126,237,0,0,8136,9,18,0,8106,5,0,0,8473,440,0,0,8242,57,0,0
2,1672,CLASSIC,1685356131240,0,0,5,0,0,0,4,555,0,0,2,2289,3201,2289,7274,0,4,0,2,0,1,0,False,False,False,False,False,False,1,9740,8400,0,0,1,0,3857,3117,3179,6691,3134,1028,3364,18,2,9,BOTTOM,0,4,3,596,0,0,6838,0,0,0,0,1,0,0,2,0,19070,5604,6111,0,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,0,SUPPORT,0,48,23,13,7,1,4,1,14,60,False,UTILITY,9,0,28008,7597,0,15103,0,4712,0,39,42,83,1,1,8937,1992,2152,2,5,2,0,0,50,0,8,25,True,0,91,0,0,0,0,375,0,0,0,272.4615824410603,0.16921042389265292,0,4,3,0,2,0,0,0,0,16,0,0,0,0,0,1,0,0,1673.0648569,0,349.30593513143805,0,6,0,0,0,0,0,3.5,1,0.4666666666666667,0,2,1,0,1,0,6,2,14,0,0,22.19999998807907,0,1,0,0,0,0,3,0,,0,2,0,0,0,14,0,0,0,0,0,0,0,,20,15,0,0,0,17,1,0,0,14,0,0,7,0,0,0,0.093259135865508,0,2,0,0,0,0,1,0,-0.10137945413589478,1.8276689470176957,8,6,0,5002,5008,5008,8100,8400,9923,21,70,0,8126,296,0,0,8136,8,16,0,8106,4,0,0,8473,536,0,0,8242,66,0,0
3,1824,CLASSIC,1685353942602,0,0,10,0,0,0,0,101,0,0,2,934,2995,934,5325,0,5,0,0,0,2,0,False,False,False,True,False,True,4,9147,7500,0,0,1,0,3853,6655,3020,4645,0,0,3364,14,0,1,BOTTOM,0,0,1,460,41577,16451,7184,0,4,0,0,0,0,0,1,0,3295,632,6874,0,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,0,SUPPORT,0,89,45,15,9,1,4,0,3,59,False,UTILITY,23,0,45774,17984,0,14240,4,2343,0,30,128,127,1,0,901,901,182,1,1,1,0,0,37,0,3,15,True,0,158,0,0,1,0,0,1,1,0,591.3508563003074,0.13159723796775047,0,5,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,1824.7653673,0,300.76789579573364,0,1,0,0,0,0,0,2.2,0,0.34375,0,1,0,0,0,0,0,7,4,0,0,15,1,3,0,0,0,0,0,0,6655,0,1,0,1,0,9,0,0,0,0,0,0,0,,8,46,0,0,1,15,0,4,1,11,0,0,5,0,0,1,0.18668858971999744,0,1,0,0,0,1,0,0,-0.2186434268951416,1.2468987319982354,3,1,0,5002,5008,5008,8300,8200,8369,936,778,0,8304,10,3,0,8345,3,0,0,8347,0,0,0,8226,250,771,0,8237,947,0,0
4,1305,ARAM,1685263554467,0,0,23,0,0,0,0,81,0,0,0,647,647,647,10276,0,12,0,1,0,0,0,False,False,False,False,False,False,0,13550,13150,0,0,1,2,6632,3133,3158,6694,6676,3077,2052,21,1,10,BOTTOM,475,3,2,177,14355,10073,23427,0,0,0,1,0,0,0,0,0,34982,15802,6527,0,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,0,SOLO,0,113,38,22,8,3,4,0,32,59,False,,2,0,49390,25928,0,32484,0,5493,0,18,30,294,1,0,51,51,2529,0,2,4,0,0,0,0,0,0,False,0,181,1,0,0,0,150,0,0,0,1191.281431979367,0.1564052306610827,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1305.8888774,0,622.5808791106409,0,0,0,0,0,0,1,2.75,9,0.6226415094339622,0,1,0,0,3,0,0,35,4,0,0,1,0,2,0,0,0,0,1,0,6632,0,0,0,0,0,23,0,0,0,0,0,0,0,14.64225070000009,32,108,0,0,0,0,0,0,0,33,1,1,27,0,0,0,0.17086758616915276,0,0,0,0,0,0,0,0,-1,0,0,0,0,5002,5008,5005,8000,8200,8010,50,0,0,8009,2795,0,0,9103,7,50,0,8014,643,0,0,8226,250,92,0,8210,15,0,0
5,2299,CLASSIC,1685261053358,0,0,5,0,0,0,0,45,0,0,2,0,0,0,14574,0,14,0,0,0,1,1,False,False,False,False,False,False,1,8658,7850,0,0,0,2,1056,6657,3003,2420,3020,0,3340,15,0,2,MIDDLE,0,0,1,503,63829,13554,10867,0,0,0,1,0,0,0,0,0,11258,824,27625,0,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,0,SOLO,0,121,53,32,5,3,4,3,12,59,False,MIDDLE,21,0,79669,14700,0,39295,0,1483,0,92,115,468,1,0,4581,321,801,0,0,10,0,0,7,0,0,5,False,0,211,0,0,0,0,0,0,0,0,383.49432446408474,0.18851696862082146,0,14,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2299.9498012,0,225.87451203998043,0,2,0,0,0,0,0,0.5,0,0.21212121212121213,0,0,0,0,0,0,0,4,33,0,0,1,0,0,0,0,0,0,0,0,6657,0,1,0,0,0,7,0,0,0,0,0,0,0,,24,40,0,0,0,5,0,2,0,7,0,0,1,0,0,0,0.1277119516621047,0,0,0,0,0,4,0,0,-0.6419883966445923,0.2077668464813545,0,0,0,5002,5008,5007,8300,8200,8369,368,314,0,8304,12,0,0,8345,3,0,0,8347,0,0,0,8226,250,210,0,8210,10,0,0
6,2046,CLASSIC,1685218182329,0,0,18,0,0,0,1,103,0,0,2,1320,18102,1320,16386,0,7,0,1,0,0,0,False,False,False,False,False,False,0,12054,11650,0,0,1,0,1056,3157,4645,6656,3020,4630,3340,19,1,8,MIDDLE,0,5,2,385,52983,16242,4309,0,8,0,0,0,0,0,6,0,20091,1634,22892,1,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,0,SOLO,0,94,65,28,36,2,4,2,12,59,False,MIDDLE,13,0,105120,23902,0,29325,0,9192,0,122,36,242,1,0,32046,6024,2123,0,1,3,0,0,16,0,1,8,True,0,223,0,0,0,0,0,0,0,0,700.8836274248998,0.1920994928283397,0,7,2,0,2,0,0,0,0,14,0,0,0,0,0,1,0,2,2046.1686329,0,353.470196579637,0,9,0,0,0,1,0,3.7142857142857144,3,0.5909090909090909,0,0,0,0,2,0,0,15,59,0,0,9,6,1,0,0,0,0,1,0,6656,0,1,0,0,0,22,0,0,0,0,1,0,1,,15,108,0,0,1,8,1,0,0,26,0,0,7,0,0,0,0.1960868845786902,0,1,0,2,5,5,0,0,0.037726402282714844,0.4822791619132552,1,1,1,5002,5008,5005,8100,8200,8112,1716,0,0,8139,1008,0,0,8138,30,0,0,8106,5,0,0,8226,250,916,0,8210,26,0,0
7,1366,CLASSIC,1685216281884,0,1,5,0,0,0,2,103,0,0,2,586,586,586,4273,0,4,0,1,0,0,0,False,False,False,False,False,True,0,6610,5450,0,0,0,0,3853,6656,3020,3145,0,0,3364,12,0,4,BOTTOM,0,2,2,690,12040,4617,7125,0,0,0,0,0,0,0,0,0,2643,748,4447,0,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,0,SUPPORT,0,44,33,13,13,1,4,1,7,59,False,UTILITY,10,0,20182,7892,0,11820,0,2156,0,24,23,96,1,0,5498,2526,247,0,1,2,0,0,25,0,3,9,True,0,103,0,0,0,0,150,0,0,0,346.5761525276384,0.17113524926330634,0,4,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,1366.3662024999999,0,290.2941213315579,0,1,0,0,0,0,0,2.25,0,0.375,0,2,0,0,0,0,0,8,9,0,0,1,6,1,0,0,0,0,1,0,,0,1,0,0,0,4,0,0,0,0,0,0,0,35.38122990000011,27,50,0,0,2,9,0,0,0,9,0,0,2,0,0,0,0.1483288459981795,0,1,0,0,0,0,0,0,-0.3727409243583679,1.0984285706112908,3,3,1,5003,5008,5005,8100,8400,8112,163,0,0,8139,522,0,0,8138,18,0,0,8106,4,0,0,8473,284,0,0,8242,55,0,0
8,1718,CLASSIC,1685195166660,0,0,7,0,0,0,0,902,0,0,3,132,1486,132,6552,0,4,0,0,0,2,0,False,False,False,False,False,True,0,6486,5925,0,0,0,1,3853,3158,3504,2065,2055,0,3364,15,0,1,BOTTOM,0,0,1,690,8328,2537,5838,0,0,0,1,0,0,0,0,0,5255,977,4633,0,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,0,SUPPORT,0,50,20,49,4,0,4,0,14,59,False,UTILITY,15,0,13726,3656,4878,11050,0,3333,1916,15,147,124,4,0,141,141,579,0,0,10,0,0,15,1,2,8,False,0,123,0,0,1,0,0,0,0,0,127.64569096358039,0.1008537272078058,0,4,19,0,0,0,6795.267578125,0,0,32,0,0,0,0,0,0,0,1,1718.5731104,0,226.45699958942524,0,1,0,0,0,0,0,2,0,0.36363636363636365,0,0,0,0,0,0,0,4,8,0,0,8,0,1,0,0,0,0,0,0,2065,0,0,0,0,0,6,0,0,0,0,0,4,0,,99,18,0,0,0,8,0,2,0,8,0,0,2,0,0,1,0.04651691399233978,0,0,0,0,0,0,0,0,-0.5082998275756836,0.5331965434471312,2,1,0,5002,5008,5007,8200,8400,8214,436,2155,0,8226,250,212,0,8210,4,0,0,8237,378,0,0,8473,316,0,0,8453,383,765,0
9,1981,CLASSIC,1685186250462,0,0,8,0,0,0,0,45,0,0,3,7771,11640,7771,9964,0,5,0,2,1,2,0,False,False,False,False,False,False,1,15405,14000,1,0,0,1,1056,3087,3100,7013,3020,3095,3340,17,3,13,MIDDLE,218,4,4,1014,138951,34185,8409,0,8,1,0,1,0,0,5,0,21198,2622,12687,0,XVHOCosPT0oX0q7PpWuFaj8Ll2bP9O7fscbCLRVx0tsNxKDIV2UltUgQKg0PL6P4sX2VGtmBAaSMWQ,1,SOLO,0,157,42,26,7,1,4,3,12,59,False,MIDDLE,25,0,166546,38215,0,22061,0,2531,0,182,57,238,1,1,6397,1407,963,3,6,8,0,0,18,0,0,10,True,0,232,0,0,0,0,0,0,0,0,1157.3501930110267,0.20395013506996174,0,5,0,0,1,0,0,0,0,16,0,1,0,0,0,0,1,0,1981.1730533,0,466.5437009927809,0,3,0,0,0,1,0,4.2,3,0.44680851063829785,0,0,0,0,2,0,0,8,67,0,1,41,3,3,0,0,0,0,4,0,6655,0,1,0,0,0,17,0,0,0,0,0,0,1,,9,78,0,0,2,10,0,4,0,21,0,0,4,0,0,1,0.32573741718895705,0,0,0,2,0,8,0,0,0.24090290069580078,0.5475621845044449,0,0,0,5003,5008,5007,8300,8200,8369,1536,1072,0,8304,11,1,5,8345,3,0,0,8347,0,0,0,8226,250,839,0,8210,27,0,0
