,gameDuration,gameMode,gameStartTimestamp,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,championId,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,puuid,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamEarlySurrendered,teamPosition,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,mythicItemUsed,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,threeWardsOneSweeperCount,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,defense,flex,offense,primaryStyle,secondaryStyle,primaryPerk0,primaryVar10,primaryVar20,primaryVar30,primaryPerk1,primaryVar11,primaryVar21,primaryVar31,primaryPerk2,primaryVar12,primaryVar22,primaryVar32,primaryPerk3,primaryVar13,primaryVar23,primaryVar33,secondaryPerk0,secondaryVar10,secondaryVar20,secondaryVar30,secondaryPerk1,secondaryVar11,secondaryVar21,secondaryVar31
0,1693,CLASSIC,1683833803099,0,0,1,0,0,0,0,21,0,0,1,3762,3762,3762,9355,0,9,0,0,0,5,0,False,False,False,False,False,False,0,8265,8100,0,0,0,1,1055,6672,3006,3031,0,0,3340,15,0,3,BOTTOM,339,2,1,468,4084,1477,5307,0,0,0,1,0,0,0,0,0,82968,7396,13575,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,CARRY,0,20,61,25,4,3,4,1,7,65,False,BOTTOM,6,0,95835,9307,0,19956,0,1870,164,134,146,221,2,0,8781,432,1074,1,1,7,0,0,12,0,0,8,False,0,110,0,0,0,0,150,0,0,0,329.65923345715004,0.17778972636209764,0,9,1,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,1693.9411464,0,292.78093452597886,0,0,0,0,0,0,0,0.4444444444444444,0,0.19047619047619047,0,0,0,0,1,0,0,0,42,0,0,0,3,0,1,0,0,0,0,0,0,6672,0,1,0,0,0,4,1,0,0,0,0,0,0,0,14,39,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0.11938566650208131,0,1,0,0,0,0,6,0,-0.6304146647453308,0.4291849384418765,0,0,1,5002,5008,5005,8000,8300,8005,424,256,168,8009,834,0,0,9103,0,0,0,8014,174,0,0,8304,12,0,0,8345,3,0,0
1,1012,CLASSIC,1683131536235,0,0,0,0,0,0,1,21,0,0,3,930,930,930,2221,0,3,0,0,0,2,0,False,False,False,False,False,True,0,4752,4350,0,0,0,0,6672,3006,0,0,0,0,3340,9,0,1,NONE,239,0,1,410,3141,533,1798,0,0,0,0,0,0,0,0,0,33628,2911,3620,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,SUPPORT,0,10,41,17,1,1,4,1,7,65,False,BOTTOM,4,0,37245,3451,0,5475,0,265,122,87,108,44,2,0,475,7,56,0,0,2,0,0,3,0,0,3,False,0,69,0,0,0,0,150,0,0,0,204.49002914739225,0.12317204023469613,0,3,1,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1012.8062486,0,281.55367011254634,0,0,0,0,0,0,0,0.3333333333333333,0,0.1111111111111111,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,12,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0.15189386438698016,0,0,0,0,2,0,2,0,-0.41755926609039307,0.22881371506237586,0,0,0,5002,5008,5005,8000,8300,8005,156,90,66,8009,318,0,0,9103,0,0,0,8014,44,0,0,8304,12,0,0,8345,3,0,0
2,1632,CLASSIC,1683129617935,0,0,5,0,0,0,0,21,0,0,1,7041,7095,7041,8198,0,6,0,0,0,4,0,False,False,False,False,False,False,0,10884,9800,0,1,1,0,1055,6672,3006,3031,3134,1018,3340,14,2,9,BOTTOM,578,3,1,590,3968,799,1858,0,0,1,0,1,0,0,0,0,87540,11863,15746,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,CARRY,0,22,71,29,3,1,4,3,7,65,False,BOTTOM,5,0,99237,13826,0,17642,0,4107,440,135,126,177,2,0,7729,1164,36,4,4,2,0,0,11,0,1,7,True,0,125,0,0,0,0,150,0,0,0,508.0070381302211,0.1802842876784799,0,6,1,0,0,0,440.8798828125,0,0,0,0,0,0,0,0,1,2,0,1633.0859957,0,399.91529897285614,0,0,0,0,0,0,0,2.3333333333333335,0,0.30434782608695654,0,3,0,0,0,0,0,0,47,0,0,0,1,2,1,0,0,0,0,0,0,6672,0,0,0,0,0,14,1,0,0,0,0,0,0,0,10,20,0,0,0,7,0,0,0,14,0,0,5,1,0,1,0.14625129338727338,0,1,0,0,2,0,6,0,-0.2010849118232727,0.4177463941130682,1,0,0,5002,5008,5005,8000,8300,8005,1152,798,354,8009,2031,0,0,9103,23,20,0,8014,409,0,0,8304,9,4,5,8345,3,0,0
3,180,CLASSIC,1683129138161,0,0,0,0,0,0,0,21,0,0,1,0,0,0,228,0,0,0,0,0,0,0,False,False,False,False,True,False,0,686,500,0,0,0,0,1055,0,2010,0,0,0,3340,2,0,0,NONE,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,958,276,572,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,SUPPORT,0,2,0,0,0,0,4,0,7,65,True,BOTTOM,0,0,958,276,0,694,0,4,0,2,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,False,0,2,0,0,0,0,0,0,0,0,91.78970977155593,0.29125202846519627,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,180.7804473,0,227.9591204320054,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3725814902615784,0,0,0,0,0,0,0,0,,0,0,0,0,5002,5008,5005,8000,8300,8005,41,30,11,8009,8,0,0,9103,0,0,0,8014,0,0,0,8304,0,0,0,8345,1,0,0
4,2146,CLASSIC,1683053919462,0,0,7,0,0,0,0,21,0,0,3,3426,7610,3426,12611,0,9,0,1,0,0,0,True,False,False,False,False,True,1,10479,10325,0,0,0,0,6672,3006,3031,3134,1018,1037,3340,18,0,4,BOTTOM,522,2,2,819,3912,701,14644,0,0,0,0,0,0,0,0,0,82911,13845,11586,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,CARRY,0,22,71,34,3,4,4,4,7,65,False,BOTTOM,8,0,97878,16205,0,26516,0,2757,207,139,160,297,2,0,11054,1658,286,1,2,7,0,0,14,0,1,8,False,0,130,0,0,0,0,0,0,0,0,453.0032952241883,0.1617690514499759,0,9,0,0,1,0,207.78627014160156,0,0,0,0,0,0,0,0,,1,1,2146.3674839,0,292.93827283075063,0,0,0,0,0,0,0,1.2222222222222223,1,0.3235294117647059,0,1,0,0,0,0,0,0,44,0,0,0,10,0,2,0,0,0,0,1,0,6672,0,1,0,0,0,11,1,0,0,0,0,0,0,0,7,19,0,0,0,8,0,0,0,11,0,0,2,0,0,0,0.14515056763539716,0,1,0,0,0,0,6,0,-0.400393545627594,0.41724770286464574,1,0,0,5002,5008,5005,8000,8300,8005,1574,823,750,8009,1416,0,0,9103,28,40,0,8014,335,0,0,8304,10,3,0,8345,3,0,0
5,2191,CLASSIC,1682968146514,0,0,8,0,0,0,0,21,0,0,3,4421,4421,4421,14034,0,14,0,0,0,3,0,False,False,False,False,False,False,0,14195,13950,0,0,0,3,6672,3006,3031,6676,3072,0,3340,21,0,10,BOTTOM,869,2,1,392,5602,1728,7184,0,2,0,1,0,0,0,0,0,136913,26090,25477,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,CARRY,0,36,95,41,5,5,4,2,7,65,False,BOTTOM,9,0,156367,30405,0,32830,2,3734,233,180,177,459,2,0,13851,2586,168,1,1,11,0,0,16,0,1,9,False,0,177,0,0,0,0,375,0,0,0,832.2738220648915,0.18982020434060348,0,13,10,0,0,0,233.199951171875,0,0,0,1,0,0,0,0,1012.1937799,0,0,2192.0067126,0,388.5487217508442,0,0,0,0,0,0,0,1.2857142857142858,2,0.6,0,2,0,0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,6672,0,2,0,0,0,15,1,0,0,0,0,0,0,0,56,62,0,0,0,9,0,0,1,18,0,0,4,0,0,0,0.2553884353358436,0,1,0,0,0,0,7,0,-0.08677548170089722,0.4441279712076668,1,0,0,5002,5008,5005,8000,8300,8005,1597,959,638,8009,2835,0,0,9103,25,50,0,8014,674,0,0,8304,10,3,0,8345,3,0,0
6,1563,CLASSIC,1682966275969,0,0,2,0,0,0,6,18,0,0,3,3702,4035,3702,6792,0,1,0,1,0,3,0,False,False,False,False,False,False,3,9561,9100,0,0,0,2,6672,3006,3031,3086,0,0,3340,17,1,8,BOTTOM,503,6,2,710,17446,2307,6990,0,0,0,1,0,0,0,0,0,73605,11603,7231,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,CARRY,0,30,29,26,6,3,4,3,7,65,False,BOTTOM,5,0,102289,14922,0,15045,0,3771,234,125,28,21,2,0,11238,1010,823,1,1,9,0,0,11,0,1,7,False,0,91,0,0,0,0,0,0,0,0,572.7619551757119,0.15400019377185126,0,1,2,0,0,0,234,0,0,7,0,0,0,0,0,,0,0,1563.1728153,0,367.0069036696035,0,1,0,0,0,0,0,10,0,0.45454545454545453,0,1,0,0,1,0,2,0,35,0,0,0,1,0,1,0,0,0,0,1,0,6672,0,2,0,0,0,6,1,0,0,0,0,0,0,0,17,0,0,0,3,7,0,6,0,10,0,0,3,1,0,0,0.2268532433388728,0,0,0,0,0,0,5,0,0.28352439403533936,0.4406973687123653,1,1,0,5002,5008,5005,8000,8100,8008,26,2,0,9111,632,200,0,9103,23,50,0,8014,381,0,0,8139,723,0,0,8135,320,4,0
7,1341,CLASSIC,1682964525299,0,0,2,0,0,0,4,145,0,0,3,5163,11280,5163,4386,0,0,0,0,0,2,0,False,False,False,False,False,False,2,7928,7300,0,0,0,0,6672,3006,3046,1036,0,0,3340,13,1,4,BOTTOM,325,4,1,1337,7050,2825,2182,0,2,1,0,1,0,0,0,0,62198,5237,6245,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,CARRY,0,42,21,20,3,1,4,1,7,65,False,BOTTOM,0,0,74440,8540,0,8581,0,2064,178,114,0,0,2,0,5191,477,153,1,2,2,0,0,11,0,1,6,True,0,86,0,0,0,0,0,0,0,0,381.8407943715545,0.13755197124032364,0,0,1,0,2,0,178,0,0,0,1,0,0,0,0,693.1415488,0,0,1341.9905005,0,354.47223282384556,0,0,0,0,0,0,0,6,0,0.3333333333333333,0,1,0,0,0,0,0,3,52,0,0,0,1,1,2,0,0,0,0,0,0,6672,0,1,0,0,0,4,1,0,0,0,0,0,0,0,10,12,0,0,1,6,0,0,0,6,0,0,4,0,0,0,0.18071214908627906,0,1,0,0,2,5,5,0,-0.017017602920532227,0.5147165527746459,1,1,0,5002,5008,5005,8000,8300,8008,9,0,0,8009,894,0,0,9103,0,0,0,8014,208,0,0,8304,9,4,5,8345,3,0,0
8,1565,ARAM,1682959684663,0,0,19,0,0,0,0,29,0,1,2,0,0,0,12335,0,19,0,0,0,0,0,False,False,False,False,False,False,0,15472,15250,0,0,0,2,6672,3006,3031,3085,3072,3035,0,22,0,5,MIDDLE,560,2,1,221,0,0,33769,0,0,0,1,0,0,0,0,0,69062,14324,4647,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,SUPPORT,0,25,51,27,6,3,32,3,7,65,False,,22,0,84430,20463,0,38987,0,4072,284,62,342,484,3,0,15368,6138,570,0,0,4,0,0,0,0,0,0,False,0,109,1,0,0,0,450,0,0,0,784.3515876524624,0.17715857058055678,0,19,9,0,0,0,284.6100158691406,0,0,0,0,0,0,0,0,,0,4,1565.3726202999999,0,593.07281178096,0,0,0,0,0,0,0,1.263157894736842,5,0.5454545454545454,0,1,0,0,3,0,0,10,17,0,0,0,8,0,1,0,0,0,0,0,0,6672,0,1,0,0,0,15,,0,0,0,0,0,0,0,49,25,1,0,0,0,0,0,0,24,0,0,14,0,0,0,0.15676468803750054,0,0,0,0,0,0,2,0,-1,0,0,0,0,5002,5008,5005,8000,8100,8008,17,1,0,9111,530,240,0,9104,12,0,0,8014,389,0,0,8139,1448,0,0,8135,450,5,0
9,1193,CLASSIC,1682958141543,0,0,8,0,0,0,8,21,0,0,3,5913,11292,5913,2315,0,0,0,1,1,3,0,False,False,False,False,False,True,3,8747,7125,0,0,0,0,6672,0,3006,1037,1038,1018,3340,12,1,8,NONE,364,8,2,0,2159,741,2412,0,4,0,0,0,0,0,1,0,64180,8268,3323,0,p8bl0MvZHFp_3Xv0n-ct7HIqGxGD1eNKWbTEWeRkygFnIhPjg_7KsMItrmERLTuhXjh5tsLUwwX55w,0,SUPPORT,0,24,63,22,3,1,4,1,7,64,False,BOTTOM,5,0,72063,9658,0,6095,0,2632,178,100,78,0,2,0,5724,649,360,2,2,2,0,0,3,0,0,2,True,0,112,0,0,0,0,0,0,0,0,485.5752144239507,0.1245806510887917,5,0,2,0,1,0,178,0,0,0,0,0,0,0,0,816.1984721,0,0,1193.4955456,0,439.77809976754725,0,0,0,0,0,1,0,16,3,0.6666666666666666,0,2,0,0,0,0,0,0,35,0,1,0,3,0,2,0,0,0,0,1,0,6672,0,1,0,0,0,11,1,0,0,0,0,0,1,0,16,18,0,0,0,2,0,1,0,16,0,0,10,0,0,0,0.18578664174653786,0,1,0,0,3,0,4,0,-0.4636598825454712,0.18189961578641603,0,0,0,5002,5008,5005,8000,8300,8005,718,393,324,8009,1975,0,0,9103,15,50,0,8014,272,0,0,8304,9,0,0,8345,3,0,0
