,gameDuration,gameMode,gameStartTimestamp,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,championId,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,puuid,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamEarlySurrendered,teamPosition,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardTimeCoverageInRiverOrEnemyHalf,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earliestDragonTakedown,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,highestChampionDamage,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,mythicItemUsed,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,teleportTakedowns,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,twoWardsOneSweeperCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,defense,flex,offense,primaryStyle,secondaryStyle,primaryPerk0,primaryVar10,primaryVar20,primaryVar30,primaryPerk1,primaryVar11,primaryVar21,primaryVar31,primaryPerk2,primaryVar12,primaryVar22,primaryVar32,primaryPerk3,primaryVar13,primaryVar23,primaryVar33,secondaryPerk0,secondaryVar10,secondaryVar20,secondaryVar30,secondaryPerk1,secondaryVar11,secondaryVar21,secondaryVar31
0,1407,CLASSIC,1684592431109,0,1,7,0,0,0,5,45,0,1,4,5477,11521,5477,5131,0,5,1,1,0,9,0,False,False,False,False,False,False,0,11001,9175,0,0,1,0,6655,3020,3087,3057,1056,3113,3340,17,2,10,MIDDLE,220,5,2,487,95900,23176,8565,0,0,1,0,1,0,0,2,0,6967,364,3756,1,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,SOLO,0,132,57,18,8,4,12,3,4,108,False,MIDDLE,12,0,103859,24115,0,12609,0,1310,0,131,58,103,1,0,991,575,287,2,2,0,0,0,12,1,0,6,True,0,215,0,0,0,0,300,0,0,0.6793099133758134,1,1027.6712198230734,0.13150122396068245,0,5,1,0,2,943.1801944,0,0,0,0,9,0,0,0,0,0,1,827.8807822,0,0,1407.9961007,0,468.8087268472078,0,1,2,0,0,0,0,0,3.4,1,0.5,0,6,0,0,1,0,0,12,47,0,0,0,55,5,3,0,0,0,0,1,0,6655,0,2,0,0,0,6,1,0,0,0,0,0,0,0,10,73,0,0,6,5,0,2,0,17,0,0,2,0,0,0,0.3394961402330617,0,0,3,0,2,0,6,0,0,-0.09509813785552979,0.5479106986043574,0,0,0,5003,5008,5007,8300,8200,8369,582,495,0,8304,11,1,5,8345,3,0,0,8347,0,0,0,8226,250,1017,0,8210,12,0,0
1,1405,CLASSIC,1684590608322,0,1,9,0,0,0,0,45,0,2,6,4241,7522,4241,7015,0,7,2,0,0,3,0,False,False,False,False,False,True,0,9462,9300,0,0,0,0,6655,3020,1056,3087,3057,3113,3340,18,0,5,MIDDLE,226,2,1,489,85777,14013,2683,0,0,0,0,0,0,0,0,0,5895,446,11424,0,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,SOLO,0,117,47,22,6,2,12,2,4,108,False,MIDDLE,14,0,93389,14697,0,14301,0,220,0,144,36,182,1,0,1716,236,193,1,2,2,0,0,17,2,1,8,True,0,192,0,0,0,0,0,0,0,0.7438538609951809,2,627.5212172203678,0.18698481340242964,0,6,2,0,1,1166.712378,0,0,0,0,9,0,0,0,0,0,0,,0,0,1405.2469637,0,404.03255940779945,0,,2,0,0,0,0,0,2,2,0.3888888888888889,0,2,0,0,1,0,0,12,58,0,0,0,48,1,2,0,0,0,0,0,0,6655,0,0,0,0,0,8,1,0,0,0,0,0,0,0,15,43,0,0,2,6,0,0,0,14,0,0,3,0,0,0,0.22650390802047105,0,1,,0,3,5,6,0,0,0.9176167249679565,0.7467210905072142,1,1,0,5003,5008,5007,8300,8200,8369,314,225,0,8304,10,3,0,8345,3,0,0,8347,0,0,0,8226,250,874,0,8210,17,0,0
2,2306,CLASSIC,1684423404423,0,1,21,0,0,0,0,53,0,8,3,1307,5443,1307,36579,0,8,1,0,1,5,0,True,False,False,False,False,True,0,10590,8875,0,1,1,0,2065,3860,3050,3047,3110,0,3364,22,1,3,BOTTOM,0,3,1,868,31413,12838,16877,0,4,0,0,0,0,0,0,0,13879,3074,13688,1,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,SUPPORT,0,51,71,48,18,8,3,5,4,107,False,UTILITY,57,0,51942,16052,0,32221,0,4357,0,41,658,294,1,0,6648,139,1655,1,2,5,0,0,54,1,7,21,True,1,188,0,0,1,0,0,0,0,0.6503545815010056,1,417.6010984236604,0.1708034668806449,0,8,5,0,2,801.7828887999999,0,0,0,0,83,0,1,0,0,0,1,589.2661177,0,1,2306.3657232,0,275.52319205129174,0,,16,0,0,0,0,0,3,3,0.4528301886792453,0,0,0,0,2,0,12,4,12,0,0,0,37,1,2,0,0,0,0,0,0,2065,0,0,0,0,0,19,1,0,0,0,0,0,0,0,26,27,0,0,1,19,0,3,0,24,0,0,7,0,0,2,0.09408119447327262,0,1,,0,2,5,1,1,0,-0.11548346281051636,1.405617349915899,7,4,0,5002,5008,5008,8200,8300,8229,836,0,0,8226,250,758,0,8210,16,0,0,8237,561,0,0,8313,0,0,0,8345,3,0,0
3,1568,CLASSIC,1684421416599,0,0,11,0,0,0,0,25,0,1,3,3355,5863,3355,8534,0,4,0,0,0,1,0,False,False,True,False,False,False,0,10001,8850,0,1,1,0,6653,3853,2424,3020,4637,3191,3364,15,0,5,BOTTOM,0,2,1,812,54841,16061,5005,0,0,0,0,0,0,0,2,0,4811,567,9087,1,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,SUPPORT,0,51,53,12,5,5,3,2,4,107,False,UTILITY,56,0,63347,16629,466,14451,0,2924,0,61,100,97,1,0,3695,0,358,1,3,0,0,0,28,0,2,12,True,0,121,0,0,0,0,0,0,1,,0,636.1014561824699,0.17208553507985988,0,4,3,0,2,912.1365566999999,1,466.0289611816406,0,0,30,0,0,0,0,0,1,707.6358355,0,0,1568.5250285,0,382.5899013619087,0,,12,0,0,0,1,1,4,2,0.38095238095238093,0,1,0,0,2,0,0,6,1,1,0,0,23,1,3,0,0,0,1,0,0,6653,0,2,0,0,0,12,1,0,0,0,0,0,0,0,21,24,0,0,1,11,0,0,0,16,0,0,6,0,0,0,0.1972916948839714,0,2,,0,5,15,2,0,0,0.5782607793807983,1.1016624917982396,2,2,0,5002,5008,5008,8200,8300,8229,1807,0,0,8226,250,781,0,8210,14,0,0,8237,712,0,0,8313,0,0,0,8345,3,0,0
4,2159,CLASSIC,1684343220412,0,4,10,0,0,0,0,127,0,11,4,3669,9898,3669,12658,0,4,1,0,0,4,0,False,False,False,False,False,False,0,14842,13275,0,1,2,0,6655,2421,4645,3191,3089,3020,3340,21,1,7,MIDDLE,0,6,1,1094,174185,27581,14924,0,4,0,0,0,0,0,2,0,11011,1005,10388,1,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,SOLO,0,148,38,71,17,5,12,2,4,107,False,MIDDLE,36,0,190359,30077,0,26039,4,5937,0,218,307,82,1,0,5162,1490,725,3,3,2,0,0,22,1,0,14,True,0,274,0,0,1,0,750,1,0,0.7377565768769242,1,835.665291356831,0.16362690720032705,0,4,14,0,2,1386.8375845,0,0,0,0,24,1,0,0,0,0,0,,0,1,2159.5483599,0,412.383562521836,0,,11,0,0,0,0,0,4.25,4,0.6296296296296297,0,2,0,0,0,0,0,6,66,0,0,0,59.25,8,2,0,0,0,0,0,0,6655,0,0,0,0,0,12,1,0,0,0,0,0,0,0,74,50,0,0,3,13,0,4,0,17,0,0,2,0,0,1,0.2939984163931469,0,0,,0,1,0,10,,0,0.09355795383453369,0.6350361593431612,0,0,0,5003,5008,5008,8100,8200,8112,1981,0,0,8126,1051,0,0,8138,30,0,0,8106,4,0,0,8226,250,767,0,8210,34,0,0
5,1371,CLASSIC,1684254929346,1,3,5,0,0,0,4,711,0,2,7,3350,7259,3350,7044,0,1,2,0,0,4,0,False,False,False,False,False,False,0,9547,9100,0,0,1,0,6655,3020,4645,1056,3191,0,3340,16,2,8,MIDDLE,0,4,1,721,84079,13494,4205,0,0,1,0,1,0,0,3,0,12214,1625,5047,0,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,SOLO,0,87,25,43,19,3,12,2,4,107,False,MIDDLE,26,0,96293,15120,0,9309,0,1634,0,147,400,32,1,0,0,0,56,1,4,0,0,0,17,2,1,9,True,0,174,0,0,0,0,0,0,0,0.7188600916373593,2,661.438099181895,0.12105284157361708,0,1,0,0,2,830.8136774999999,0,0,0,0,29,0,0,0,0,0,1,741.4844267,0,0,1371.5584228,0,417.664476369362,0,,6,0,0,0,0,0,13,1,0.3939393939393939,0,1,0,0,0,0,0,5,60,0,0,0,10,1,1,0,0,0,0,0,0,6655,0,2,0,0,0,5,1,0,0,0,0,0,0,0,7,47,0,0,4,7,0,0,0,13,0,0,6,0,0,0,0.19313085738584002,0,1,1,0,1,0,6,,0,0.6951574087142944,0.7445844776123605,1,1,0,5003,5008,5005,8100,8200,8112,1098,0,0,8139,671,0,0,8138,30,0,0,8106,4,0,0,8226,250,832,0,8210,15,0,0
6,1974,CLASSIC,1684252039695,0,0,9,1,0,0,0,201,0,1,5,245,1072,245,27011,0,5,2,0,1,5,0,False,False,False,False,False,False,0,7056,6000,0,0,0,2,3190,3860,1011,3111,3076,0,3364,18,0,0,BOTTOM,4,0,0,819,12157,7112,8863,0,4,0,1,0,0,0,0,0,7631,759,13180,0,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,SUPPORT,0,77,29,21,8,6,3,4,4,107,False,UTILITY,35,0,30414,7872,2416,23254,0,3162,668,45,156,121,5,0,10625,0,1211,0,0,9,0,0,46,2,3,21,False,0,135,0,0,0,0,0,0,0,,2,239.25114004411898,0.1403975340866525,0,5,0,0,1,1111.7410559,0,3085.05224609375,0,0,22,0,0,0,0,0,0,,0,0,1974.2326087,0,214.46645550074336,0,,3,0,0,0,0,0,1.8,1,0.3103448275862069,0,0,0,0,0,1,0,5,16,0,0,0,27,0,1,0,0,0,0,0,0,3190,0,0,0,0,0,7,1,0,0,0,0,0,2,0,8,50,0,0,0,19,0,6,0,9,0,0,1,0,0,0,0.06846541522469853,0,0,,0,1,0,1,,0,-0.31351447105407715,1.417479754455425,3,1,1,5002,5002,5005,8400,8300,8465,1545,0,0,8463,1075,0,0,8473,607,0,0,8242,65,0,0,8345,3,0,0,8347,0,0,0
7,2200,CLASSIC,1684249485098,0,0,12,0,0,0,0,101,0,8,7,1168,1168,1168,15952,0,10,2,1,0,1,0,False,False,False,False,False,False,0,11322,10800,0,0,0,1,3157,3853,6655,3165,3020,0,3364,24,1,5,BOTTOM,0,3,2,473,59786,24965,9011,0,4,0,1,0,0,0,0,0,1301,175,14810,0,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,SUPPORT,0,92,40,30,17,6,12,5,4,107,False,UTILITY,31,0,63011,26905,0,26485,4,1796,0,35,149,388,1,0,1923,1763,2662,0,1,7,0,0,56,2,3,23,False,0,179,0,2,0,0,0,1,1,0.8532469492176706,2,733.5524810663787,0.15198605868127563,0,10,4,0,0,,0,0,0,0,14,1,0,0,0,0,1,948.0336116,0,0,2200.6664521,0,308.6887590100279,0,,4,0,0,0,0,0,1.7,2,0.40476190476190477,0,1,0,0,3,0,0,11,3,1,0,0,4,0,2,0,0,0,0,1,0,6655,0,1,0,0,0,14,1,0,0,0,0,0,0,0,23,46,0,0,2,21,0,0,0,17,0,0,5,0,0,2,0.2070427729098494,0,2,,0,2,0,1,,0,0.010211706161499023,1.5315365370587084,3,1,0,5002,5008,5008,8300,8200,8369,986,764,0,8304,9,4,5,8345,3,0,0,8347,0,0,0,8226,250,1044,0,8237,1145,0,0
8,1265,ARAM,1684078649468,0,0,15,0,0,0,0,76,0,5,2,152,152,152,14822,0,10,0,1,0,1,0,False,False,False,False,False,False,0,15174,14200,0,0,0,1,6655,3020,4645,3135,3165,3191,2052,17,2,15,MIDDLE,0,5,2,201,50188,40511,9922,0,0,0,1,0,0,0,0,0,2241,345,13584,0,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,SUPPORT,0,111,42,50,41,13,32,2,4,107,False,,0,0,53070,41431,0,24726,0,5458,2041,12,0,254,5,0,640,575,1219,0,0,4,0,0,0,0,0,0,False,0,244,0,0,0,0,1200,0,0,,0,1964.2186228855908,0.1331331279435457,0,10,1,0,0,,0,2041.555419921875,0,0,0,0,0,0,0,0,1,954.4697342,0,6,1265.5989204999998,0,719.4127409033691,0,,0,0,0,0,0,0,3,4,0.5769230769230769,0,6,0,0,5,0,0,13,6,0,0,0,0,0,2,0,0,0,0,1,0,6655,0,4,0,0,0,20,,0,0,0,0,0,0,0,8,39,6,0,4,0,0,11,0,30,0,0,25,0,0,0,0.3152383777722533,0,0,,0,0,0,0,,0,-1,0,0,0,0,5002,5008,5008,8100,8000,8128,2002,23,0,8143,335,0,0,8138,30,0,0,8135,450,5,0,8009,3414,0,0,8014,895,0,0
9,1193,CLASSIC,1682958141543,0,0,3,0,0,0,2,112,0,8,3,4932,4932,4932,5109,0,2,0,2,0,15,0,False,False,False,True,False,True,0,8671,7500,0,0,0,0,1056,6655,3020,4645,0,0,3340,10,1,5,NONE,0,3,2,727,60844,12653,2784,0,0,0,0,0,0,0,1,0,7884,178,5039,0,rWaB3oRKwIFWz050lP6b5TXQdjdYqlbra89TI1jN2sUuRTmVq0pRE4OdifYAiVxK57SJBvYHE0X6tg,0,DUO,0,45,11,60,6,2,12,3,4,107,False,MIDDLE,8,0,74063,13175,0,8074,0,595,0,132,64,65,1,0,5333,343,251,1,1,2,0,0,8,0,0,5,True,0,122,0,0,0,0,0,0,0,,0,662.3797533813351,0.1650449130855064,5,2,1,0,0,,0,0,0,0,4,0,0,0,0,0,816.1984721,,0,0,1193.4955456,0,435.91791830982436,0,,1,0,0,0,0,1,4,1,0.3333333333333333,0,1,0,0,0,0,0,16,75,0,0,0,46,0,1,0,0,0,0,2,0,6655,0,1,0,0,0,4,1,0,0,0,0,0,0,0,11,53,0,0,1,5,0,2,1,8,0,0,3,0,0,0,0.2534340845374671,0,1,,0,6,0,6,,0,-0.6675630211830139,0.4048317755253839,0,0,0,5003,5008,5005,8300,8200,8369,379,330,0,8304,12,0,0,8345,3,0,0,8347,0,0,0,8226,250,660,0,8210,5,0,0
